fct_date,fct_mean,cnty,horizon,method,step_ahead
2022-10-02,805.5273308641503,US,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-02,774.8711151123047,US,2022-09-25,lstm,1-step_ahead
2022-10-02,791.025995297372,US,2022-09-25,EnKF,1-step_ahead
2022-10-02,797.4285714285719,US,2022-09-25,phase-model,1-step_ahead
2022-10-02,1017.9887929007028,US,2022-09-25,ES_LO,1-step_ahead
2022-10-09,1595.2441787241544,US,2022-10-02,ARIMA_LO,1-step_ahead
2022-10-09,1089.2289111328123,US,2022-10-02,lstm,1-step_ahead
2022-10-09,1317.11427102232,US,2022-10-02,EnKF,1-step_ahead
2022-10-09,1083.85714285714,US,2022-10-02,phase-model,1-step_ahead
2022-10-09,1419.980020482207,US,2022-10-02,ES_LO,1-step_ahead
2022-10-16,1844.7007478276334,US,2022-10-09,ARIMA_LO,1-step_ahead
2022-10-16,1033.58955078125,US,2022-10-09,lstm,1-step_ahead
2022-10-16,1168.4314619457302,US,2022-10-09,EnKF,1-step_ahead
2022-10-16,1416.16666666667,US,2022-10-09,phase-model,1-step_ahead
2022-10-16,1930.0033151721293,US,2022-10-09,ES_LO,1-step_ahead
2022-10-23,2974.7156511674084,US,2022-10-16,ARIMA_LO,1-step_ahead
2022-10-23,1816.267978515625,US,2022-10-16,lstm,1-step_ahead
2022-10-23,2514.73027625005,US,2022-10-16,EnKF,1-step_ahead
2022-10-23,1841.2666666666696,US,2022-10-16,phase-model,1-step_ahead
2022-10-23,2713.998747559563,US,2022-10-16,ES_LO,1-step_ahead
2022-10-30,5992.083325945831,US,2022-10-23,ARIMA_LO,1-step_ahead
2022-10-30,2799.125905761719,US,2022-10-23,lstm,1-step_ahead
2022-10-30,5165.943512008621,US,2022-10-23,EnKF,1-step_ahead
2022-10-30,2956.23636363636,US,2022-10-23,phase-model,1-step_ahead
2022-10-30,6221.659472321685,US,2022-10-23,ES_LO,1-step_ahead
2022-11-06,7953.076727087961,US,2022-10-30,ARIMA_LO,1-step_ahead
2022-11-06,4039.268464355469,US,2022-10-30,lstm,1-step_ahead
2022-11-06,8630.50384438862,US,2022-10-30,EnKF,1-step_ahead
2022-11-06,4369.77272727273,US,2022-10-30,phase-model,1-step_ahead
2022-11-06,8570.065211402336,US,2022-10-30,ES_LO,1-step_ahead
2022-11-13,10827.340900005483,US,2022-11-06,ARIMA_LO,1-step_ahead
2022-11-13,5851.06388671875,US,2022-11-06,lstm,1-step_ahead
2022-11-13,11737.1862856416,US,2022-11-06,EnKF,1-step_ahead
2022-11-13,6088.692307692309,US,2022-11-06,phase-model,1-step_ahead
2022-11-13,10658.008437237831,US,2022-11-06,ES_LO,1-step_ahead
2022-11-20,13870.923076923078,US,2022-11-13,ARIMA_LO,1-step_ahead
2022-11-20,8785.03330078125,US,2022-11-13,lstm,1-step_ahead
2022-11-20,14695.2531632632,US,2022-11-13,EnKF,1-step_ahead
2022-11-20,13291.6,US,2022-11-13,phase-model,1-step_ahead
2022-11-20,13463.999316582394,US,2022-11-13,ES_LO,1-step_ahead
