EM_iters,sigma,ARIMA_LO,lstm,EnKF,phase-model,ES_LO
10,1408.7571186964065,0.42697603597330985,0.14824515477622624,0.11787186923115987,0.005600085398614248,0.3013068546206898
20,1270.4949020911474,0.503602121160628,0.11353222221347335,0.08334992321330019,0.004537246595827059,0.29497848681677147
30,1113.703589270128,0.5919967588237647,0.07824511860561177,0.05160310149241644,0.00333909003805482,0.2748159310401523
40,948.5409246156529,0.6902182630281192,0.04564628442388076,0.0257323804697723,0.002102951868703598,0.23630012020952412
50,804.6703434302358,0.7890851262719568,0.02079154727186981,0.009179232470338222,0.0010418463811603784,0.17990224760467477
60,718.5849150915659,0.8708828242881469,0.007154077437385755,0.002205741411472023,0.00038871973823861834,0.11936863712475666
70,685.8529479432492,0.9252444036697192,0.0020150303998360103,0.00040087602497193136,0.00011820264800895362,0.07222148725746388
80,676.8877648291965,0.957340091253893,0.000515788524565241,6.46712049087023e-05,3.27748499895364e-05,0.04204667416664347
90,674.953233036474,0.9756963619174889,0.0001269119649401481,1.0031891779641117e-05,8.78581923170526e-06,0.024157908406559788
100,674.7044332939408,0.9861514436188329,3.069660517792713e-05,1.5365957635501826e-06,2.3253401901380506e-06,0.013813997840035536
