horizon,lead_time,cnty,step_ahead,ensemble_mean,true,calibrated_sigma,captured_50,captured_75,captured_95
2020-11-15,8,04013,1-step_ahead,16620.43259203406,16027.0,373.9185806486764,0,0,1
2020-11-15,8,04013,2-step_ahead,23281.016264815145,22119.0,144.68994014942854,1,1,1
2020-11-15,8,04013,3-step_ahead,31633.4644180815,24537.0,374.175196379801,0,0,0
2020-11-15,8,04013,4-step_ahead,33554.82991518552,26752.0,770.4777594886505,0,0,0
2020-11-22,8,04013,1-step_ahead,22037.12684718477,22119.0,263.5960926131843,1,1,1
2020-11-22,8,04013,2-step_ahead,29205.957870159586,24537.0,156.66957678866106,0,0,0
2020-11-22,8,04013,3-step_ahead,35179.9064932625,26752.0,1192.2817379110706,0,0,0
2020-11-22,8,04013,4-step_ahead,43804.05296197143,25569.0,1530.2771669288609,0,0,0
2020-11-29,8,04013,1-step_ahead,30902.52000305139,24537.0,278.52847926788456,0,0,0
2020-11-29,8,04013,2-step_ahead,35265.3084686004,26752.0,1056.5582793173471,0,0,0
2020-11-29,8,04013,3-step_ahead,40236.35090988353,25569.0,2224.939661817258,0,0,0
2020-11-29,8,04013,4-step_ahead,39237.183147950986,28593.0,3951.721867918213,0,0,0
2020-12-06,8,04013,1-step_ahead,31863.5303940772,26752.0,934.8728803065272,0,0,0
2020-12-06,8,04013,2-step_ahead,33802.19305902944,25569.0,2074.568046087468,0,0,0
2020-12-06,8,04013,3-step_ahead,33166.37675201749,28593.0,3953.237217264509,0,0,1
2020-12-06,8,04013,4-step_ahead,35301.79151438739,43507.0,4095.568112254789,0,0,1
2020-12-13,8,04013,1-step_ahead,30251.03537397636,25569.0,1249.766658523029,0,0,0
2020-12-13,8,04013,2-step_ahead,31083.244753766547,28593.0,2685.8226868180027,0,1,1
2020-12-13,8,04013,3-step_ahead,32271.28981370504,43507.0,3468.8089303970755,0,0,0
2020-12-13,8,04013,4-step_ahead,41592.84737464611,38542.0,4125.070276420509,1,1,1
2020-12-20,8,04013,1-step_ahead,23735.0127438662,28593.0,1783.141278988197,0,0,0
2020-12-20,8,04013,2-step_ahead,27098.98902118744,43507.0,2616.0054834096964,0,0,0
2020-12-20,8,04013,3-step_ahead,38827.55430519515,38542.0,4241.952657098993,1,1,1
2020-12-20,8,04013,4-step_ahead,35650.55431348369,31149.0,3767.381175206824,0,1,1
2020-12-27,8,04013,1-step_ahead,28715.07344669392,43507.0,2004.8274014614049,0,0,0
2020-12-27,8,04013,2-step_ahead,37032.05723357334,38542.0,4344.231939680976,1,1,1
2020-12-27,8,04013,3-step_ahead,40052.11042688084,31149.0,3829.083177930811,0,0,0
2020-12-27,8,04013,4-step_ahead,38230.53744063108,24863.0,3891.475905532505,0,0,0
2021-01-03,8,04013,1-step_ahead,36710.224988703725,38542.0,3998.341790084764,1,1,1
2021-01-03,8,04013,2-step_ahead,41873.73571090961,31149.0,4234.492716030176,0,0,0
2021-01-03,8,04013,3-step_ahead,41278.98256098748,24863.0,4386.418017188091,0,0,0
2021-01-03,8,04013,4-step_ahead,37941.24215390949,16765.0,5268.95190616726,0,0,0
2021-01-10,8,04013,1-step_ahead,45701.46591997114,31149.0,4185.955448720715,0,0,0
2021-01-10,8,04013,2-step_ahead,38482.49742797737,24863.0,5096.191266135131,0,0,0
2021-01-10,8,04013,3-step_ahead,35421.09589543687,16765.0,5771.465465249927,0,0,0
2021-01-10,8,04013,4-step_ahead,26878.74969204572,11015.0,7716.807035856826,0,0,0
2021-01-17,8,04013,1-step_ahead,33240.17669653286,24863.0,4074.511259498605,0,0,1
2021-01-17,8,04013,2-step_ahead,31370.87938127429,16765.0,6558.62101342481,0,0,0
2021-01-17,8,04013,3-step_ahead,29449.082894204763,11015.0,6852.412518200608,0,0,0
2021-01-17,8,04013,4-step_ahead,18752.78409974791,6612.0,8846.762461499708,0,0,1
2021-01-24,8,04013,1-step_ahead,28247.414888045263,16765.0,4621.7892924598,0,0,0
2021-01-24,8,04013,2-step_ahead,29936.64510727483,11015.0,8000.35167564111,0,0,0
2021-01-24,8,04013,3-step_ahead,23333.235291871315,6612.0,8624.309302077123,0,0,1
2021-01-24,8,04013,4-step_ahead,18455.0543362833,5997.0,6466.46953830317,0,0,1
2021-01-31,8,04013,1-step_ahead,20607.869191267124,11015.0,5806.8389337635,0,0,1
2021-01-31,8,04013,2-step_ahead,30135.629483014112,6612.0,9832.68685981718,0,0,0
2021-01-31,8,04013,3-step_ahead,34403.66697117139,5997.0,8866.19782641071,0,0,0
2021-01-31,8,04013,4-step_ahead,35366.741240654614,5528.0,4501.099066600059,0,0,0
2021-02-07,8,04013,1-step_ahead,12658.677389508646,6612.0,6495.483569989701,0,1,1
2021-02-07,8,04013,2-step_ahead,23276.121016032528,5997.0,12310.618749360086,0,0,1
2021-02-07,8,04013,3-step_ahead,37154.253003279584,5528.0,12338.34162285982,0,0,0
2021-02-07,8,04013,4-step_ahead,33501.37193261343,5080.0,9631.43443885003,0,0,0
2021-02-14,8,04013,1-step_ahead,5865.020213749702,5997.0,6674.537755576977,1,1,1
2021-02-14,8,04013,2-step_ahead,10117.378078995014,5528.0,12647.9139981079,1,1,1
2021-02-14,8,04013,3-step_ahead,7227.161129476445,5080.0,11207.567449790373,1,1,1
2021-02-14,8,04013,4-step_ahead,5031.639588085428,960.0,8813.222786220227,1,1,1
2021-02-21,8,04013,1-step_ahead,5881.436092002852,5528.0,4334.654806937211,1,1,1
2021-02-21,8,04013,2-step_ahead,4614.326796709418,5080.0,5045.827230224631,1,1,1
2021-02-21,8,04013,3-step_ahead,4862.128900505408,960.0,4636.105300300163,0,1,1
2021-02-21,8,04013,4-step_ahead,3264.622306018802,1837.0,3558.739908608693,1,1,1
2021-02-28,8,04013,1-step_ahead,4018.51969870132,5080.0,1273.69031817542,0,1,1
2021-02-28,8,04013,2-step_ahead,3134.065478716797,960.0,2159.956409989288,0,1,1
2021-02-28,8,04013,3-step_ahead,2549.965229533584,1837.0,2485.360041686279,1,1,1
2021-02-28,8,04013,4-step_ahead,1914.002097202784,2273.0,1230.0064949175437,1,1,1
2021-03-07,8,04013,1-step_ahead,4317.165963994046,960.0,910.630407621151,0,0,1
2021-03-07,8,04013,2-step_ahead,2587.1471732145665,1837.0,2026.8071801462168,1,1,1
2021-03-07,8,04013,3-step_ahead,1635.7220384307425,2273.0,1682.269395790553,1,1,1
2021-03-07,8,04013,4-step_ahead,1185.09573286907,2704.0,911.9896884750526,0,0,1
2021-03-14,8,04013,1-step_ahead,1455.1362145960038,1837.0,1173.2597814391806,1,1,1
2021-03-14,8,04013,2-step_ahead,1550.5925017455593,2273.0,1646.0893488470365,1,1,1
2021-03-14,8,04013,3-step_ahead,1711.1998109242757,2704.0,1366.0489459348414,0,1,1
2021-03-14,8,04013,4-step_ahead,1700.563394553713,2533.0,710.6160042425863,0,1,1
2021-03-21,8,04013,1-step_ahead,2211.690908659464,2273.0,737.2781309033203,1,1,1
2021-03-21,8,04013,2-step_ahead,2086.293298311509,2704.0,1216.7146548639134,1,1,1
2021-03-21,8,04013,3-step_ahead,2096.84629319276,2533.0,1056.9865390521763,1,1,1
2021-03-21,8,04013,4-step_ahead,1849.4109445046813,3318.0,824.5119647607006,0,0,1
2021-03-28,8,04013,1-step_ahead,3211.045400875092,2704.0,698.0032805434245,0,1,1
2021-03-28,8,04013,2-step_ahead,2323.060127222008,2533.0,1116.134561256828,1,1,1
2021-03-28,8,04013,3-step_ahead,1993.575534265568,3318.0,1026.5264118912044,0,0,1
2021-03-28,8,04013,4-step_ahead,2105.9687734201743,3983.0,946.9106022002908,0,0,0
2021-04-04,8,04013,1-step_ahead,2836.5309611698244,2533.0,764.5724133357247,1,1,1
2021-04-04,8,04013,2-step_ahead,2304.17194821054,3318.0,1061.0971507340582,0,1,1
2021-04-04,8,04013,3-step_ahead,2318.279119696638,3983.0,1148.8196905153163,0,0,1
2021-04-04,8,04013,4-step_ahead,2629.592721190271,3303.0,1152.9549736905892,1,1,1
2021-04-11,8,04013,1-step_ahead,2649.81518083129,3318.0,432.75286601770665,0,0,1
2021-04-11,8,04013,2-step_ahead,2610.43126220437,3983.0,961.6943712648548,0,0,1
2021-04-11,8,04013,3-step_ahead,3026.3050670706816,3303.0,808.2563110115373,1,1,1
2021-04-11,8,04013,4-step_ahead,3273.272891769001,3053.0,237.4502563617183,0,1,1
2021-04-18,8,04013,1-step_ahead,3123.934052793348,3983.0,460.90617278069146,0,0,1
2021-04-18,8,04013,2-step_ahead,2818.1728472880395,3303.0,1158.24002117263,1,1,1
2021-04-18,8,04013,3-step_ahead,2970.3674483536497,3053.0,360.1987580706309,1,1,1
2021-04-18,8,04013,4-step_ahead,2973.123369015426,2780.0,367.138242471817,1,1,1
2021-04-25,8,04013,1-step_ahead,2830.085922779699,3303.0,538.8857700294411,0,1,1
2021-04-25,8,04013,2-step_ahead,2686.9037999763127,3053.0,538.5913491628378,0,1,1
2021-04-25,8,04013,3-step_ahead,2917.7562304152766,2780.0,251.7569489400069,1,1,1
2021-04-25,8,04013,4-step_ahead,2962.913695459305,3032.0,355.57734102231666,1,1,1
2021-05-02,8,04013,1-step_ahead,3233.5877068958994,3053.0,471.6200664347324,1,1,1
2021-05-02,8,04013,2-step_ahead,3761.889224643001,2780.0,409.9386173290808,0,0,0
2021-05-02,8,04013,3-step_ahead,3069.819530117388,3032.0,274.13370460891093,1,1,1
2021-05-02,8,04013,4-step_ahead,3100.0268217594626,1931.0,319.80871892080654,0,0,0
2021-05-09,8,04013,1-step_ahead,3180.883526654321,2780.0,351.94385396023154,0,1,1
2021-05-09,8,04013,2-step_ahead,3144.0385430453584,3032.0,402.374892691933,1,1,1
2021-05-09,8,04013,3-step_ahead,3083.5710158791003,1931.0,363.9467682455568,0,0,0
2021-05-09,8,04013,4-step_ahead,2581.348942938199,2370.0,311.25474393352937,1,1,1
2021-05-16,8,04013,1-step_ahead,3025.989491743091,3032.0,365.3312091290037,1,1,1
2021-05-16,8,04013,2-step_ahead,3110.05003947306,1931.0,379.6750045635265,0,0,0
2021-05-16,8,04013,3-step_ahead,2926.196061429731,2370.0,505.99372640592014,0,1,1
2021-05-16,8,04013,4-step_ahead,2855.142081811091,2139.0,228.41911590786896,0,0,0
2021-05-23,8,04013,1-step_ahead,3206.452383753985,1931.0,379.652029952902,0,0,0
2021-05-23,8,04013,2-step_ahead,3007.1205101959745,2370.0,537.2753864508323,0,0,1
2021-05-23,8,04013,3-step_ahead,2785.058652409892,2139.0,463.1857659178834,0,0,1
2021-05-23,8,04013,4-step_ahead,2555.6514457214644,2223.0,214.1383243517035,0,1,1
2021-05-30,8,04013,1-step_ahead,3113.005063060473,2370.0,551.9415514788313,0,0,1
2021-05-30,8,04013,2-step_ahead,3307.316213488391,2139.0,519.2870558921644,0,0,0
2021-05-30,8,04013,3-step_ahead,3395.161128173274,2223.0,486.8818597590283,0,0,0
2021-05-30,8,04013,4-step_ahead,3127.1474888706334,2481.0,348.64460036651576,0,0,1
2021-06-06,8,04013,1-step_ahead,2977.8982108435384,2139.0,566.8108975474776,0,0,1
2021-06-06,8,04013,2-step_ahead,2753.015834141828,2223.0,625.184287289446,0,1,1
2021-06-06,8,04013,3-step_ahead,2631.694426369727,2481.0,544.6583313298981,1,1,1
2021-06-06,8,04013,4-step_ahead,2666.6000360721737,2686.0,368.1353067878699,1,1,1
