horizon,lead_time,cnty,step_ahead,best_method_rank
2020-12-20,8,04013,1-step_ahead,2
2020-12-20,8,06037,1-step_ahead,3
2020-12-20,8,06059,1-step_ahead,4
2020-12-20,8,06065,1-step_ahead,2
2020-12-20,8,06073,1-step_ahead,4
2020-12-20,8,17031,1-step_ahead,2
2020-12-20,8,36047,1-step_ahead,1
2020-12-20,8,48113,1-step_ahead,1
2020-12-20,8,48201,1-step_ahead,3
2020-12-27,8,04013,1-step_ahead,3
2020-12-27,8,06037,1-step_ahead,1
2020-12-27,8,06059,1-step_ahead,2
2020-12-27,8,06065,1-step_ahead,3
2020-12-27,8,06073,1-step_ahead,4
2020-12-27,8,17031,1-step_ahead,5
2020-12-27,8,36047,1-step_ahead,2
2020-12-27,8,48113,1-step_ahead,3
2020-12-27,8,48201,1-step_ahead,4
2021-01-03,8,04013,1-step_ahead,5
2021-01-03,8,06037,1-step_ahead,4
2021-01-03,8,06059,1-step_ahead,5
2021-01-03,8,06065,1-step_ahead,3
2021-01-03,8,06073,1-step_ahead,3
2021-01-03,8,17031,1-step_ahead,4
2021-01-03,8,36047,1-step_ahead,4
2021-01-03,8,48113,1-step_ahead,3
2021-01-03,8,48201,1-step_ahead,3
2021-01-10,8,04013,1-step_ahead,1
2021-01-10,8,06037,1-step_ahead,5
2021-01-10,8,06059,1-step_ahead,2
2021-01-10,8,06065,1-step_ahead,1
2021-01-10,8,06073,1-step_ahead,5
2021-01-10,8,17031,1-step_ahead,1
2021-01-10,8,36047,1-step_ahead,4
2021-01-10,8,48113,1-step_ahead,4
2021-01-10,8,48201,1-step_ahead,5
2021-01-17,8,04013,1-step_ahead,2
2021-01-17,8,06037,1-step_ahead,2
2021-01-17,8,06059,1-step_ahead,5
2021-01-17,8,06065,1-step_ahead,5
2021-01-17,8,06073,1-step_ahead,2
2021-01-17,8,17031,1-step_ahead,2
2021-01-17,8,36047,1-step_ahead,4
2021-01-17,8,48113,1-step_ahead,4
2021-01-17,8,48201,1-step_ahead,1
2021-01-24,8,04013,1-step_ahead,4
2021-01-24,8,06037,1-step_ahead,1
2021-01-24,8,06059,1-step_ahead,1
2021-01-24,8,06065,1-step_ahead,4
2021-01-24,8,06073,1-step_ahead,1
2021-01-24,8,17031,1-step_ahead,2
2021-01-24,8,36047,1-step_ahead,5
2021-01-24,8,48113,1-step_ahead,3
2021-01-24,8,48201,1-step_ahead,5
2021-01-31,8,04013,1-step_ahead,1
2021-01-31,8,06037,1-step_ahead,1
2021-01-31,8,06059,1-step_ahead,2
2021-01-31,8,06065,1-step_ahead,1
2021-01-31,8,06073,1-step_ahead,1
2021-01-31,8,17031,1-step_ahead,3
2021-01-31,8,36047,1-step_ahead,2
2021-01-31,8,48113,1-step_ahead,1
2021-01-31,8,48201,1-step_ahead,5
2021-02-07,8,04013,1-step_ahead,1
2021-02-07,8,06037,1-step_ahead,1
2021-02-07,8,06059,1-step_ahead,4
2021-02-07,8,06065,1-step_ahead,3
2021-02-07,8,06073,1-step_ahead,3
2021-02-07,8,17031,1-step_ahead,5
2021-02-07,8,36047,1-step_ahead,1
2021-02-07,8,48113,1-step_ahead,1
2021-02-07,8,48201,1-step_ahead,4
2021-02-14,8,04013,1-step_ahead,4
2021-02-14,8,06037,1-step_ahead,2
2021-02-14,8,06059,1-step_ahead,2
2021-02-14,8,06065,1-step_ahead,3
2021-02-14,8,06073,1-step_ahead,1
2021-02-14,8,17031,1-step_ahead,3
2021-02-14,8,36047,1-step_ahead,1
2021-02-14,8,48113,1-step_ahead,2
2021-02-14,8,48201,1-step_ahead,5
2021-02-21,8,04013,1-step_ahead,2
2021-02-21,8,06037,1-step_ahead,4
2021-02-21,8,06059,1-step_ahead,3
2021-02-21,8,06065,1-step_ahead,1
2021-02-21,8,06073,1-step_ahead,2
2021-02-21,8,17031,1-step_ahead,1
2021-02-21,8,36047,1-step_ahead,3
2021-02-21,8,48113,1-step_ahead,2
2021-02-21,8,48201,1-step_ahead,5
